	Type	Color	Label	Sensitized	ColorSens
GSM1411187_N_2845_0h_Slide7-2_2_2-54.txt	noTx_0h	darkgreen	2845	n	darkgreen
GSM1411188_N_2845_6h_A_Slide4-7_2_2-30.txt	HDM_6h	gold	2845	n	gold
GSM1411189_N_2845_6h_S_Slide4-7_2_1-29.txt	saline_6h	orchid2	2845	n	darkorchid4
GSM1411190_N_2845_24h_A_Slide1-8_2_1-5.txt	HDM_24h	firebrick	2845	n	firebrick
GSM1411191_N_2845_24h_S_Slide1-8_1_4-4.txt	saline_24h	darkblue	2845	n	darkblue
GSM1411192_N_2847_0h_Slide8-1_1_1-57.txt	noTx_0h	darkgreen	2847	n	darkgreen
GSM1411193_N_2847_6h_A_Slide8-1_2_4-42.txt	HDM_6h	gold	2847	n	gold
GSM1411194_N_2847_6h_S_Slide6-3_1_1-41.txt	saline_6h	orchid2	2847	n	darkorchid4
GSM1411195_N_2847_24h_A_Slide1-8_1_3-3.txt	HDM_24h	firebrick	2847	n	firebrick
GSM1411196_N_2847_24h_S_Slide1-8_1_2-2.txt	saline_24h	darkblue	2847	n	darkblue
